gene_id,Con1_Liver,Con2_Liver,Con3_Liver,Con4_Liver,Con5_Liver,Con6_Liver,T1_Liver,T2_Liver,T3_Liver,T4_Liver,T5_Liver,T6_Liver
306353,101.81,127.34,132.07,123.21,122.17,95.09,68.21,66.03,83.11,102.23,91.86,85.67
306356,10,8,4,6,7,8,7,3,6,3,3,3
306357,104.81,102.26,88,108.98,79.63,74.02,157.96,135.69,73,173.01,108,160.37
306375,92.15,85.22,116.36,66.99,47.08,37.09,24.99,25,45.33,95.04,86.08,14.02
306376,835.19,1036.32,1504.61,1052.74,1517.15,1483.13,813.54,694.82,1273.52,550.25,1342.27,743.81
306380,797.9,721.29,811.11,754.27,747.73,732.54,2611.89,2412.55,1390.65,1334.04,1000.18,2416.68
306387,31,59,48,57,57.83,50,83,77.98,51,43,107.76,101
306400,1389.55,1183.14,1283.87,1262.98,1106.99,1164.7,1228.05,1263.99,1421.55,1118,1079,1253.66
306404,0,0,0,0,0,0,3,2,0,0,0,0
306417,239,303.17,491.3,299.95,336.76,288,169.05,145,116,283,158.99,138.96
306424,143,212,174,215,172.99,169.41,109,135,195,79,205,147
306436,407,410.21,563,409,413,366.2,302.15,268,305,311,340,274.33
306439,235,549.39,451.98,565.99,571.99,440,87,106.31,191.02,236.72,226,105
306441,1,0,1,0,0,0,1,0,0,0,0,0
306451,35,17,18,29.79,16,18,9,14,23,13,32,12
306454,2,0,1,0,1,0,0,0,0,0,0,0
306455,469.74,413.6,480.99,392,366.99,352.99,813,808.99,931.75,584,977.27,796.83
306459,259,147.96,181.8,137.99,137,142,170,148,250,174.98,224.99,151.97
306460,0,0,2,1,0,0,1,0,0,5.31,1,0
306464,0,0,0,0,0,1.25,0,1.77,0,0,0,0
306469,89.45,82.9,78.19,99.55,74.58,73.72,121,103,60.99,94.86,74.95,106.24
306471,395,361.87,377.94,380.99,408,395.98,303,300,359,336,319,283
306487,1609.26,2146.98,2121.19,2173.44,2403.96,2396.78,1330.39,1200.88,1754.36,1726.6,2599.89,1158.66
306490,264,433,530,460.31,512,496.98,26.99,43.7,286,48,71,47
306492,542.78,594,614.01,543.26,533.8,533,666.74,708.18,646.99,599.23,655.76,729.07
306504,3,0,0,4,2,0,76,72,48,30,136,49.58
306505,66,74.09,84,90,95,95,143,151,176,72,204,146
306506,3,9,14,10,5,7,25,29,57,39,57.77,22
306508,107,134,213.93,140.97,80,88.96,30,39,56,116,49,29.93
306516,417.64,471.62,458.1,453.39,448.43,457.15,557.86,500.6,339.37,439.76,393.09,592.53
306526,178.87,255.22,176.99,230.38,220.92,218.65,454.17,515.46,273.89,252.05,412.23,499.18
306527,6,3,8,7,8,5,0,1,3,1,4,5
306534,39,44,19,36,19,25,1,2,6,40,5,1
306540,1,0,0,0,0.57,0,0,1,0,0,0,0
306542,68,88,80,80.79,64.78,93.6,127.95,141.97,60,75.65,63.86,125.35
306544,243,345.31,301,327,376,400.51,243.95,202,191,206,269,194
306547,45,51,69.92,51,57,48,107,85,78,56,63,98
306548,319.36,218.05,281.15,210,219.99,243,217,237,214.36,203.51,174.99,223
306549,308.62,339.42,465.3,355.73,338.94,404.47,244.3,228.79,322.2,339.85,361.73,227.43
306562,376.98,327.95,263.11,291.83,313.95,321.16,330,309,303.86,470,398.41,313.82
306564,118.56,85.3,106.09,87.49,80.76,66.38,63.44,65.3,41.57,206.04,95.35,62.83
306570,4,3,2,1,3,1,1,6,1,2,7,2
306571,416.51,480.92,377,464,382.96,387.47,551.73,547.04,543.63,514.14,546,533.95
306574,24473.67,12757.67,14447.55,12863.31,25366.04,25471.04,3207.44,3395.06,4294.71,7558.51,5958.72,3599.51
306575,19,12,3,13,27,18,4,2,3,21,9,6
306576,94,81.82,142,77,104.99,106,57,38,45.7,77.06,80,57.99
306582,110,120,136,112,121,113.95,161,134,106,141,181,138.75
306586,899,888.46,1056.95,903.93,1057.42,1114.41,624.98,679.76,767.8,705.99,723.87,680.01
306587,201.99,269,224,294,217.46,205,271,229,198,176,211,236
306589,4.95,6.34,10.76,6.78,5.13,5.41,1.55,0,3.21,4.71,2.67,3.01
306594,11.93,21,19,21,15,22,11,3,13,8,15,10
306599,194.86,258.71,265,264.98,299,296.97,172,190,157,271,202,176
306600,613.93,579,613.01,581.59,500.99,458,777.44,868,870.46,847.56,766.09,855.99
306607,114,45.27,105,29.75,184.01,182,100.94,75.42,81.08,151.7,161.7,165
306608,6597.01,5610.49,6961.68,5753.72,4804.58,4890.26,7660.95,7554.86,10267.65,6520.71,8500.28,7552.05
306616,23,6,11,8,16,11,0,0,11,14,5,14
306617,6,39,27,37,35,37,20,16,9,21,3,17
306618,36.94,70,76,60,59,63.04,9.99,9,26,53.98,22,8
306619,291,318,392,367,385,376,206,208,152,296,104,200
306622,77,49,68,57,61,65,61,57,76,76,80,59
306626,174,144,114,144,108,118.99,196,194,129,181,89,189
306628,729.99,690,798,665,630.88,591,1232,1445.98,1595.99,1487.99,1363.11,1377.58
306630,656.94,715,597,680,826.43,768.97,669,707.99,511,623.99,719,696.38
306636,12,19,14,13,14,15,9,5,26,12,12,6
306647,274.49,247.42,230.95,250.03,204.17,177.52,366.3,343.94,260.42,295.96,339.35,346.16
306655,6,6.03,5,6.01,9,3.01,2,0,1,1.01,1.01,0
306657,4,10.1,1,6,3,7.21,30,29,5,15,8,24
306659,35,113.07,55,146.98,159.98,185.77,109,95,145.98,136.98,185.95,90.98
306664,1,0,2,1,0,0,0,0,0,0,0,0
306665,402,475.56,381,439.02,373,400.91,594,621,398.03,491.91,522,674
306672,636,528,322.88,495,533.99,558.99,336,317.99,275,282,307.97,362.97
306687,820.96,791,961,786,652.2,685,787.28,763,734.99,878.99,742.99,747.38
306695,15,45,31,30,57,56,19,17,9,31,16,12
